Decade,Precipitation,Location,Scenario,Tmin,Tmax
1980,498.1888889,Kempton,RCP_4.5,9.430736715,20.87101449
1990,487.43,Kempton,RCP_4.5,10.21467391,21.44972826
2000,513.21,Kempton,RCP_4.5,10.13668478,21.42375
2010,486.27,Kempton,RCP_4.5,10.71407609,21.9761413
2020,475.54,Kempton,RCP_4.5,11.27168478,22.63336957
2030,511.76,Kempton,RCP_4.5,11.69831522,22.92271739
2040,482.49,Kempton,RCP_4.5,12.01391304,23.5726087
2050,472.55,Kempton,RCP_4.5,12.58793478,24.10934783
2060,607.03,Kempton,RCP_4.5,12.925,24.18755435
2070,494.39,Kempton,RCP_4.5,13.02793478,24.62603261
2080,516.12,Kempton,RCP_4.5,13.03282609,24.5923913
2090,456.31,Kempton,RCP_4.5,13.34440217,25.20309783
1980,479.4222222,St. Thomas,RCP_4.5,10.72886473,22.15477053
1990,539.74,St. Thomas,RCP_4.5,11.45516304,22.56179348
2000,503.93,St. Thomas,RCP_4.5,11.38826087,22.35081522
2010,543.93,St. Thomas,RCP_4.5,11.88222826,23.00701087
2020,571.97,St. Thomas,RCP_4.5,12.57103261,24.05940217
2030,546.08,St. Thomas,RCP_4.5,12.86347826,24.17967391
2040,507.42,St. Thomas,RCP_4.5,13.47701087,25.0611413
2050,535.47,St. Thomas,RCP_4.5,13.78184783,25.29190217
2060,669.04,St. Thomas,RCP_4.5,14.04663043,25.22152174
2070,557,St. Thomas,RCP_4.5,14.25255435,25.81581522
2080,509.05,St. Thomas,RCP_4.5,14.15478261,25.66402174
2090,492.65,St. Thomas,RCP_4.5,14.43809783,26.01304348
1980,481.6,Thorndale,RCP_4.5,9.933152174,19.75785024
1990,463.86,Thorndale,RCP_4.5,10.77978261,20.40456522
2000,473.63,Thorndale,RCP_4.5,10.70581522,20.18994565
2010,518.14,Thorndale,RCP_4.5,11.42836957,20.93945652
2020,488.62,Thorndale,RCP_4.5,12.01961957,21.79038043
2030,536.87,Thorndale,RCP_4.5,12.78527174,22.4186413
2040,442.56,Thorndale,RCP_4.5,13.49630435,23.38820652
2050,489.02,Thorndale,RCP_4.5,14.00543478,23.89940217
2060,565.98,Thorndale,RCP_4.5,14.38983696,24.01038043
2070,562.13,Thorndale,RCP_4.5,14.38228261,24.3625
2080,493.76,Thorndale,RCP_4.5,14.26081522,24.25336957
2090,409.85,Thorndale,RCP_4.5,14.97445652,24.9838587
1980,492.4111111,Timmins,RCP_4.5,5.122705314,17.98266908
1990,524.84,Timmins,RCP_4.5,5.852119565,18.70641304
2000,438.81,Timmins,RCP_4.5,6.09826087,18.64038043
2010,526.94,Timmins,RCP_4.5,6.44798913,19.08847826
2020,562.98,Timmins,RCP_4.5,7.106141304,19.80402174
2030,499.74,Timmins,RCP_4.5,7.538369565,20.29744565
2040,487.42,Timmins,RCP_4.5,8.115815217,20.86554348
2050,531.98,Timmins,RCP_4.5,8.51798913,21.36570652
2060,518.78,Timmins,RCP_4.5,8.751684783,21.40065217
2070,574.64,Timmins,RCP_4.5,9.011032609,21.73054348
2080,553.21,Timmins,RCP_4.5,8.768369565,21.66570652
2090,460.43,Timmins,RCP_4.5,9.690597826,22.75559783
1980,483.4888889,Woodstock,RCP_4.5,10.05960145,21.30126812
1990,508.98,Woodstock,RCP_4.5,10.77,22.11945652
2000,515.18,Woodstock,RCP_4.5,10.75130435,22.28277174
2010,547.08,Woodstock,RCP_4.5,11.27657609,23.1675
2020,568.87,Woodstock,RCP_4.5,11.96657609,22.41445652
2030,540.66,Woodstock,RCP_4.5,12.27184783,23.14375
2040,539.37,Woodstock,RCP_4.5,12.83342391,23.69179348
2050,537.79,Woodstock,RCP_4.5,13.11,23.67375
2060,622.96,Woodstock,RCP_4.5,13.41777174,23.70521739
2070,577.64,Woodstock,RCP_4.5,13.60771739,23.8498913
